mep_id,name,country,party,value_score,value_reasons
23788,"Adam Bielan","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (98.6%); High voting participation (1198 votes); Large country representative (Poland)"
256941,"Alexander Jungbluth","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (Germany)"
256959,"Alexander Sell","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (98.8%); High voting participation (1201 votes); Large country representative (Germany)"
183916,"Alexandra Geese","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Germany)"
122978,"Alicia Homs Ginel","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (Spain)"
24942,"Ana Miranda Paz","Spain","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.3%); High voting participation (1194 votes); Large country representative (Spain)"
197514,"Andrzej Halicki","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.2%); High voting participation (1205 votes); Large country representative (Poland)"
256896,"Angéline Furet","France","Patriots for Europe Group",65,"Excellent attendance (98.8%); High voting participation (1201 votes); Large country representative (France)"
256951,"Anja Arndt","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Germany)"
86793,"Anna Cavazzini","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (99.4%); High voting participation (1208 votes); Large country representative (Germany)"
197572,"Anna Zalewska","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Poland)"
256910,"Anthony Smith","France","",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (France)"
257122,"Antonio Decaro","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Italy)"
86057,"Bartłomiej Sienkiewicz","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.1%); High voting participation (1192 votes); Large country representative (Poland)"
257139,"Benedetta Scuderi","Italy","The Greens–European Free Alliance",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Italy)"
197545,"Bogdan Rzońca","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Poland)"
125204,"Borja Giménez Larraz","Spain","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Spain)"
230085,"Camilla Laureti","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Italy)"
94649,"Catherine Griset","France","Patriots for Europe Group",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (France)"
257101,"Cecilia Strada","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Italy)"
197475,"Christine Anderson","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Germany)"
256946,"Christine Singer","Germany","Renew Europe Group",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Germany)"
261797,"Christophe Bay","France","Patriots for Europe Group",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (France)"
106936,"Daniel Freund","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (99.5%); High voting participation (1209 votes); Large country representative (Germany)"
257145,"Daniele Polato","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (98.6%); High voting participation (1198 votes); Large country representative (Italy)"
124813,"Dario Tamburrano","Italy","",65,"Excellent attendance (98.4%); High voting participation (1196 votes); Large country representative (Italy)"
257031,"Dariusz Joński","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.4%); High voting participation (1195 votes); Large country representative (Poland)"
239260,"Denis Nesci","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (99.6%); High voting participation (1210 votes); Large country representative (Italy)"
257001,"Elena Sancho","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99%); High voting participation (1203 votes); Large country representative (Spain)"
256913,"Emma Fourreau","France","",65,"Excellent attendance (98.9%); High voting participation (1202 votes); Large country representative (France)"
197462,"Erik Marquardt","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.2%); High voting participation (1193 votes); Large country representative (Germany)"
197525,"Ewa Kopacz","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.4%); High voting participation (1208 votes); Large country representative (Poland)"
124858,"Fabio De Masi","Germany","",65,"Excellent attendance (99.7%); High voting participation (1211 votes); Large country representative (Germany)"
189065,"France Jamet","France","Patriots for Europe Group",65,"Excellent attendance (99.9%); High voting participation (1214 votes); Large country representative (France)"
257163,"Francesco Torselli","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Italy)"
197577,"Gilles Boyer","France","Renew Europe Group",65,"Excellent attendance (99.2%); High voting participation (1205 votes); Large country representative (France)"
257124,"Giuseppe Lupo","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.2%); High voting participation (1205 votes); Large country representative (Italy)"
197464,"Hannah Neumann","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.1%); High voting participation (1192 votes); Large country representative (Germany)"
96787,"Herbert Dorfmann","Italy","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Italy)"
257127,"Ilaria Salis","Italy","The Left in the European Parliament - GUE/NGL",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Italy)"
256945,"Irmhild Boßdorf","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (98.6%); High voting participation (1198 votes); Large country representative (Germany)"
257082,"Jagna Marczułajtis","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Poland)"
197432,"Jan-Christoph Oetjen","Germany","Renew Europe Group",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Germany)"
257084,"Joanna Scheuring-Wielgus","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98.8%); High voting participation (1201 votes); Large country representative (Poland)"
125052,"Juan Carlos Girauta","Spain","Patriots for Europe Group",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Spain)"
88552,"Julien Sanchez","France","Patriots for Europe Group",65,"Excellent attendance (99.8%); High voting participation (1213 votes); Large country representative (France)"
256965,"Kai Tegethoff","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (Germany)"
257032,"Kamila Gasiuk-Pihowicz","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Poland)"
124884,"Kosma Złotowski","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Poland)"
257085,"Krzysztof Śmiszek","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Poland)"
247735,"Laura Ballarín Cereza","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Spain)"
256871,"Malika Sorel","France","",65,"Excellent attendance (99.8%); High voting participation (1213 votes); Large country representative (France)"
206158,"Manuela Ripa","Germany","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.9%); High voting participation (1202 votes); Large country representative (Germany)"
256942,"Marc Jongen","Germany","Europe of Sovereign Nations Group",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Germany)"
257160,"Marco Tarquinio","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98%); High voting participation (1191 votes); Large country representative (Italy)"
204414,"Margarita de la Pisa Carrión","Spain","Patriots for Europe Group",65,"Excellent attendance (99.8%); High voting participation (1213 votes); Large country representative (Spain)"
124836,"Maria Noichl","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Germany)"
257143,"Mariateresa Vivaldini","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (98.1%); High voting participation (1192 votes); Large country representative (Italy)"
256878,"Marie-Luce Brasier-Clain","France","Patriots for Europe Group",65,"Excellent attendance (99.9%); High voting participation (1214 votes); Large country representative (France)"
197502,"Marie-Pierre Vedrenne","France","Renew Europe Group",65,"Excellent attendance (98.3%); High voting participation (1194 votes); Large country representative (France)"
257056,"Mariusz Kamiński","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (99%); High voting participation (1203 votes); Large country representative (Poland)"
257077,"Marlena Maląg","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Poland)"
257046,"Marta Wcisło","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (Poland)"
125670,"Massimiliano Salini","Italy","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.5%); High voting participation (1209 votes); Large country representative (Italy)"
257055,"Małgorzata Gosiewska","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (98.6%); High voting participation (1198 votes); Large country representative (Poland)"
197449,"Michael Bloss","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Germany)"
257026,"Michał Szczerba","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.4%); High voting participation (1195 votes); Large country representative (Poland)"
257045,"Michał Wawrykiewicz","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.3%); High voting participation (1207 votes); Large country representative (Poland)"
257150,"Michele Picaro","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (98.7%); High voting participation (1199 votes); Large country representative (Italy)"
257049,"Mirosława Nykiel","Poland","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (99.5%); High voting participation (1209 votes); Large country representative (Poland)"
197500,"Mounir Satouri","France","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.1%); High voting participation (1192 votes); Large country representative (France)"
256874,"Mélanie Disdier","France","Patriots for Europe Group",65,"Excellent attendance (99.2%); High voting participation (1205 votes); Large country representative (France)"
251874,"Niels Geuking","Germany","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.9%); High voting participation (1202 votes); Large country representative (Germany)"
124808,"Norbert Lins","Germany","Group of the European People's Party (Christian Democrats)",65,"Excellent attendance (98.2%); High voting participation (1193 votes); Large country representative (Germany)"
256987,"Oihane Agirregoitia","Spain","Renew Europe Group",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Spain)"
101039,"Paolo Borchia","Italy","Patriots for Europe Group",65,"Excellent attendance (99.1%); High voting participation (1204 votes); Large country representative (Italy)"
256877,"Pascale Piera","France","Patriots for Europe Group",65,"Excellent attendance (99.8%); High voting participation (1212 votes); Large country representative (France)"
257133,"Pasquale Tridico","Italy","",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Italy)"
197684,"Pernando Barrena","Spain","",65,"Excellent attendance (98.4%); High voting participation (1195 votes); Large country representative (Spain)"
257727,"Pierfrancesco Maran","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.4%); High voting participation (1208 votes); Large country representative (Italy)"
256893,"Pierre Pimpie","France","Patriots for Europe Group",65,"Excellent attendance (99.9%); High voting participation (1214 votes); Large country representative (France)"
197448,"Rasmus Andresen","Germany","Group of the Greens/European Free Alliance",65,"Excellent attendance (98.5%); High voting participation (1197 votes); Large country representative (Germany)"
197498,"Robert Biedroń","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (99.4%); High voting participation (1208 votes); Large country representative (Poland)"
257125,"Roberto Vannacci","Italy","Patriots for Europe Group",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (Italy)"
25758,"Ruth Firmenich","Germany","",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Germany)"
256997,"Sandra Gómez López","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98.8%); High voting participation (1201 votes); Large country representative (Spain)"
204419,"Sandro Gozi","France","Renew Europe Group",65,"Excellent attendance (98.6%); High voting participation (1198 votes); Large country representative (France)"
4746,"Sergio Berlato","Italy","European Conservatives and Reformists Group",65,"Excellent attendance (99.8%); High voting participation (1213 votes); Large country representative (Italy)"
261796,"Séverine Werbrouck","France","Patriots for Europe Group",65,"Excellent attendance (99.6%); High voting participation (1210 votes); Large country representative (France)"
256903,"Thomas Pellerin-Carlin","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98%); High voting participation (1191 votes); Large country representative (France)"
256938,"Tobias Cremer","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98.4%); High voting participation (1196 votes); Large country representative (Germany)"
257073,"Tobiasz Bocheński","Poland","European Conservatives and Reformists Group",65,"Excellent attendance (99%); High voting participation (1203 votes); Large country representative (Poland)"
257072,"Tomasz Buczek","Poland","Patriots for Europe Group",65,"Excellent attendance (99.3%); High voting participation (1206 votes); Large country representative (Poland)"
256886,"Valérie Deloge","France","Patriots for Europe Group",65,"Excellent attendance (99.6%); High voting participation (1210 votes); Large country representative (France)"
197627,"Virginie Joron","France","Patriots for Europe Group",65,"Excellent attendance (98.8%); High voting participation (1200 votes); Large country representative (France)"
256937,"Vivien Costanzo","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,"Excellent attendance (98.4%); High voting participation (1195 votes); Large country representative (Germany)"
257087,"Adnan Dibrani","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (98.7%); High voting participation (1199 votes)"
257097,"Alberico Gambino","Italy","European Conservatives and Reformists Group",55,"High attendance (96.7%); High voting participation (1175 votes); Large country representative (Italy)"
197670,"Andreas Schieder","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (99.5%); High voting participation (1209 votes)"
28223,"Andreas Schwab","Germany","Group of the European People's Party (Christian Democrats)",55,"High attendance (96.3%); High voting participation (1170 votes); Large country representative (Germany)"
257051,"Andrzej Buła","Poland","Group of the European People's Party (Christian Democrats)",55,"High attendance (97.4%); High voting participation (1183 votes); Large country representative (Poland)"
4289,"Angelika Niebler","Germany","Group of the European People's Party (Christian Democrats)",55,"High attendance (97.4%); High voting participation (1184 votes); Large country representative (Germany)"
256990,"Anna Strolenberg","Kingdom of the Netherlands","Group of the Greens/European Free Alliance",55,"Excellent attendance (98.8%); High voting participation (1201 votes)"
256839,"Anna Stürgkh","Austria","Renew Europe Group",55,"Excellent attendance (99.6%); High voting participation (1210 votes)"
257050,"António Tânger","Portugal","Patriots for Europe Group",55,"Excellent attendance (99.7%); High voting participation (1211 votes)"
257060,"Arkadiusz Mularczyk","Poland","European Conservatives and Reformists Group",55,"High attendance (97.5%); High voting participation (1185 votes); Large country representative (Poland)"
103246,"Auke Zijlstra","Kingdom of the Netherlands","Patriots for Europe Group",55,"Excellent attendance (99.3%); High voting participation (1206 votes)"
256811,"Aurelijus Veryga","Lithuania","European Conservatives and Reformists Group",55,"Excellent attendance (98.5%); High voting participation (1197 votes)"
257297,"Barry Cowen","Ireland","Renew Europe Group",55,"Excellent attendance (98.2%); High voting participation (1193 votes)"
197773,"Bert-Jan Ruissen","Kingdom of the Netherlands","European Conservatives and Reformists Group",55,"Excellent attendance (99.8%); High voting participation (1213 votes)"
197818,"Billy Kelleher","Ireland","Renew Europe Group",55,"Excellent attendance (99.4%); High voting participation (1208 votes)"
256885,"Bruno Tobback","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (99.6%); High voting participation (1210 votes)"
257437,"Catarina Vieira","Kingdom of the Netherlands","Group of the Greens/European Free Alliance",55,"Excellent attendance (99.4%); High voting participation (1208 votes)"
123562,"Charlie Weimers","Sweden","European Conservatives and Reformists Group",55,"Excellent attendance (99.3%); High voting participation (1207 votes)"
197422,"Christine Schneider","Germany","Group of the European People's Party (Christian Democrats)",55,"High attendance (96.2%); High voting participation (1169 votes); Large country representative (Germany)"
197557,"Christophe Grudler","France","Renew Europe Group",55,"High attendance (97.2%); High voting participation (1181 votes); Large country representative (France)"
197719,"Cristina Maestre","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"High attendance (97.2%); High voting participation (1181 votes); Large country representative (Spain)"
257301,"Cynthia Ní Mhurchú","Ireland","Renew Europe Group",55,"Excellent attendance (98.4%); High voting participation (1195 votes)"
257155,"Danilo Della Valle","Italy","",55,"High attendance (97.1%); High voting participation (1180 votes); Large country representative (Italy)"
28122,"David Casa","Malta","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99%); High voting participation (1203 votes)"
197503,"David Cormand","France","Group of the Greens/European Free Alliance",55,"High attendance (96%); High voting participation (1167 votes); Large country representative (France)"
257091,"Dick Erixon","Sweden","European Conservatives and Reformists Group",55,"Excellent attendance (99.3%); High voting participation (1207 votes)"
256830,"Elisabeth Grossmann","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (99.6%); High voting participation (1210 votes)"
125027,"Esteban González Pons","Spain","Group of the European People's Party (Christian Democrats)",55,"High attendance (97.4%); High voting participation (1183 votes); Large country representative (Spain)"
256880,"Estelle Ceulemans","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (98.3%); High voting participation (1194 votes)"
257012,"Estrella Galán","Spain","",55,"High attendance (96.5%); High voting participation (1172 votes); Large country representative (Spain)"
96998,"Evelyn Regner","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (98.2%); High voting participation (1193 votes)"
197392,"Evin Incir","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (99.3%); High voting participation (1207 votes)"
256872,"Fabrice Leggeri","France","Patriots for Europe Group",55,"High attendance (95.1%); High voting participation (1155 votes); Large country representative (France)"
256900,"Fernand Kartheiser","Luxembourg","",55,"Excellent attendance (99.2%); High voting participation (1205 votes)"
257027,"Fernando Navarrete Rojas","Spain","Group of the European People's Party (Christian Democrats)",55,"High attendance (97.7%); High voting participation (1187 votes); Large country representative (Spain)"
257099,"Francesco Ventola","Italy","European Conservatives and Reformists Group",55,"High attendance (95.4%); High voting participation (1159 votes); Large country representative (Italy)"
28400,"Francisco José Millán Mon","Spain","Group of the European People's Party (Christian Democrats)",55,"High attendance (95.5%); High voting participation (1160 votes); Large country representative (Spain)"
197534,"François-Xavier Bellamy","France","Group of the European People's Party (Christian Democrats)",55,"High attendance (95.8%); High voting participation (1164 votes); Large country representative (France)"
197435,"Gabriele Bischoff","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"High attendance (97.7%); High voting participation (1187 votes); Large country representative (Germany)"
256842,"Gerald Hauser","Austria","Patriots for Europe Group",55,"Excellent attendance (99.3%); High voting participation (1206 votes)"
96940,"Gerben-Jan Gerbrandy","Kingdom of the Netherlands","Renew Europe Group",55,"Excellent attendance (99.5%); High voting participation (1209 votes)"
126699,"Gilles Pennelle","France","Patriots for Europe Group",55,"High attendance (96.8%); High voting participation (1176 votes); Large country representative (France)"
257094,"Giovanni Crosetto","Italy","European Conservatives and Reformists Group",55,"High attendance (95.4%); High voting participation (1159 votes); Large country representative (Italy)"
257092,"Hanna Gedin","Sweden","",55,"Excellent attendance (99.6%); High voting participation (1210 votes)"
256944,"Hans Neuhoff","Germany","Europe of Sovereign Nations Group",55,"High attendance (95.7%); High voting participation (1163 votes); Large country representative (Germany)"
197391,"Heléne Fritzon","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (99.4%); High voting participation (1208 votes)"
257028,"Henrik Dahl","Kingdom of Denmark","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (98.4%); High voting participation (1195 votes)"
256968,"Ingeborg ter Laak","Kingdom of the Netherlands","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99.3%); High voting participation (1206 votes)"
28298,"Iratxe García","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"High attendance (96%); High voting participation (1166 votes); Large country representative (Spain)"
197447,"Irena Joveva","Slovenia","Renew Europe Group",55,"Excellent attendance (99.8%); High voting participation (1213 votes)"
197591,"Irene Tinagli","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"High attendance (96.8%); High voting participation (1176 votes); Large country representative (Italy)"
96675,"Isabella Lövin","Sweden","Group of the Greens/European Free Alliance",55,"Excellent attendance (99.6%); High voting participation (1210 votes)"
197556,"Ivan David","Czech Republic","Europe of Sovereign Nations Group",55,"Excellent attendance (98.8%); High voting participation (1201 votes)"
257086,"Jacek Ozdoba","Poland","European Conservatives and Reformists Group",55,"High attendance (97%); High voting participation (1178 votes); Large country representative (Poland)"
124877,"Jadwiga Wiśniewska","Poland","European Conservatives and Reformists Group",55,"High attendance (97.6%); High voting participation (1186 votes); Large country representative (Poland)"
256967,"Jan-Peter Warnke","Germany","",55,"High attendance (96.9%); High voting participation (1177 votes); Large country representative (Germany)"
257015,"Jaume Asens Llodrà","Spain","Group of the Greens/European Free Alliance",55,"High attendance (95.4%); High voting participation (1159 votes); Large country representative (Spain)"
197628,"Jean-Paul Garraud","France","Patriots for Europe Group",55,"High attendance (95.1%); High voting participation (1156 votes); Large country representative (France)"
95074,"Jeroen Lenaers","Kingdom of the Netherlands","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99.7%); High voting participation (1211 votes)"
197404,"Jessica Polfjärd","Sweden","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99.1%); High voting participation (1204 votes)"
256983,"Jessika van Leeuwen","Kingdom of the Netherlands","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99.1%); High voting participation (1204 votes)"
38542,"Johan Danielsson","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (99.8%); High voting participation (1213 votes)"
125046,"Jonás Fernández","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"High attendance (97.5%); High voting participation (1185 votes); Large country representative (Spain)"
257057,"João Cotrim de Figueiredo","Portugal","Renew Europe Group",55,"Excellent attendance (98.3%); High voting participation (1194 votes)"
256882,"Julie Rechagneux","France","Patriots for Europe Group",55,"High attendance (95.9%); High voting participation (1165 votes); Large country representative (France)"
127766,"Jussi Saramo","Finland","",55,"Excellent attendance (98.9%); High voting participation (1202 votes)"
197466,"Jutta Paulus","Germany","Group of the Greens/European Free Alliance",55,"High attendance (95.8%); High voting participation (1164 votes); Large country representative (Germany)"
197405,"Jörgen Warborn","Sweden","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99.6%); High voting participation (1210 votes)"
188096,"Jüri Ratas","Estonia","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99.3%); High voting participation (1207 votes)"
197401,"Karin Karlsbro","Sweden","Renew Europe Group",55,"Excellent attendance (99.4%); High voting participation (1208 votes)"
5729,"Kathleen Van Brempt","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"Excellent attendance (98.4%); High voting participation (1196 votes)"
197870,"Kim van Sparrentak","Kingdom of the Netherlands","Group of the Greens/European Free Alliance",55,"Excellent attendance (99.3%); High voting participation (1207 votes)"
256993,"Leire Pajín","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,"High attendance (97%); High voting participation (1179 votes); Large country representative (Spain)"
256833,"Lena Schilling","Austria","Group of the Greens/European Free Alliance",55,"Excellent attendance (99.4%); High voting participation (1208 votes)"
2152,"Leoluca Orlando","Italy","Group of the Greens/European Free Alliance",55,"High attendance (97.2%); High voting participation (1181 votes); Large country representative (Italy)"
256889,"Liesbet Sommen","Belgium","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99.3%); High voting participation (1206 votes)"
124701,"Luděk Niedermayer","Czech Republic","Group of the European People's Party (Christian Democrats)",55,"Excellent attendance (99.6%); High voting participation (1210 votes)"
197490,"Magdalena Adamowicz","Poland","Group of the European People's Party (Christian Democrats)",55,"High attendance (95.8%); High voting participation (1164 votes); Large country representative (Poland)"
